title,rank,date,artist,url,region,chart,trend,streams
Professor X,116,2020-01-31,Dave,https://open.spotify.com/track/5wfyoR8XOkw45QRtFOoxyi,Ireland,top200,MOVE_DOWN,7808.0
Head & Heart (feat. MNEK),29,2020-11-22,Joel Corry,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9,Global,top200,MOVE_DOWN,1952838.0
Amarillo,38,2020-07-21,J Balvin,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL,Bolivia,top200,MOVE_DOWN,5781.0
Meet Me At Our Spot,48,2021-08-31,"THE ANXIETY, WILLOW, Tyler Cole",https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG,Peru,viral50,NEW_ENTRY,
Waste It On Me (feat. BTS),96,2019-03-04,Steve Aoki,https://open.spotify.com/track/2J0X46UkpfLlWbuCXFgDLr,Vietnam,top200,MOVE_DOWN,1706.0
Mala Mía - Remix,141,2019-02-10,"Maluma, Becky G, Anitta",https://open.spotify.com/track/6sAwJPgaSQ9Q4XGnbx1gZb,Honduras,top200,MOVE_DOWN,1055.0
Despacito (Featuring Daddy Yankee),93,2018-02-09,Luis Fonsi,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,Costa Rica,top200,MOVE_UP,3908.0
Wow.,99,2019-06-19,Post Malone,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,Austria,top200,MOVE_UP,6944.0
High Hopes,139,2018-07-21,Panic! At The Disco,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,Belgium,top200,MOVE_DOWN,5118.0
Quiéreme Mientras Se Pueda,12,2020-08-07,Manuel Turizo,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M,Paraguay,viral50,MOVE_UP,
OTW,46,2018-06-16,"Khalid, 6LACK, Ty Dolla $ign",https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI,Global,top200,MOVE_DOWN,1297269.0
Pyyntö - Vain elämää kausi 11,142,2021-05-20,Jannika B,https://open.spotify.com/track/4krlgdspcXcWzixjacCeC9,Finland,top200,MOVE_UP,6492.0
XO Tour Llif3,124,2017-11-22,Lil Uzi Vert,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO,Turkey,top200,MOVE_DOWN,9295.0
STAY (with Justin Bieber),1,2021-07-27,The Kid LAROI,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,Norway,top200,SAME_POSITION,154987.0
I WANNA BE YOUR SLAVE,22,2021-08-19,Måneskin,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk,United Arab Emirates,top200,SAME_POSITION,3701.0
Ola Moiazoun Kalokairi,126,2019-07-27,Melisses,https://open.spotify.com/track/18CXGxSuMmZhE6SQEtIYic,Greece,top200,MOVE_UP,2045.0
ลืมไปก่อน,98,2017-11-29,"Buddha Bless, เกรียน Peace",https://open.spotify.com/track/6Rpj87GuuE59nij1NVmpzD,Thailand,top200,MOVE_DOWN,1802.0
Lover,27,2019-09-06,Taylor Swift,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI,India,top200,MOVE_DOWN,38155.0
How Long,31,2018-01-09,Charlie Puth,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi,Global,top200,SAME_POSITION,1566825.0
Rakas,43,2017-03-23,Haloo Helsinki!,https://open.spotify.com/track/0O2nxouygWlAVxHZPw3YCW,Finland,top200,SAME_POSITION,23801.0
Me ei mennä rikki,14,2021-03-11,"Gasellit, Karri Koira",https://open.spotify.com/track/3KlKNC9vfmdREv97mK0Xce,Finland,top200,SAME_POSITION,25039.0
Reason with me,36,2019-06-10,Rudeboy,https://open.spotify.com/track/0X8d4wY8cjlmzV07SAqImm,France,viral50,MOVE_UP,
Ya No Tiene Novio,15,2018-10-23,"Sebastian Yatra, Mau y Ricky",https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu,Honduras,top200,SAME_POSITION,3494.0
Nace Un Borracho,84,2020-11-18,Christian Nodal,https://open.spotify.com/track/6SnO4yCCYtz2rffMpEAlro,Nicaragua,top200,NEW_ENTRY,1120.0
ALTALENE (feat. Mara Sattei & Coez),2,2020-10-31,"BLOODY VINYL, Slait, tha Supreme",https://open.spotify.com/track/2zqxUV6h5y6Y9WhyH0FVvX,Italy,top200,MOVE_UP,312496.0
Sua cara (feat. Anitta & Pabllo Vittar),129,2018-03-26,Major Lazer,https://open.spotify.com/track/3ibRxEv4KkcU9e259eyNJA,Portugal,top200,MOVE_UP,3481.0
Chambea,21,2017-12-17,Bad Bunny,https://open.spotify.com/track/6ElmxV9B2mSNscEjP27M7i,Bolivia,viral50,MOVE_DOWN,
CORALINE,7,2021-06-24,Måneskin,https://open.spotify.com/track/7HMz8o0m7ASQ3ImFPfhWTY,Costa Rica,viral50,SAME_POSITION,
Dance Monkey,64,2019-09-08,Tones And I,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,Singapore,top200,MOVE_DOWN,10645.0
Better Days (NEIKED x Mae Muller x Polo G),44,2021-10-22,NEIKED,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH,United Arab Emirates,top200,MOVE_UP,2696.0
Senorita,85,2020-12-06,"SNIK, Tamta",https://open.spotify.com/track/4Wc7eARS7kCa4oX2lQ8AxT,Greece,top200,MOVE_DOWN,4928.0
see you later (ten years),23,2021-11-08,Jenna Raine,https://open.spotify.com/track/5elofKuRmgZmCVImWT6JtE,Belgium,viral50,MOVE_DOWN,
New Man,26,2017-03-15,Ed Sheeran,https://open.spotify.com/track/5HDPtsnyb3maFmPL8LLUTG,Global,top200,MOVE_DOWN,2011209.0
Как тебя покорить,91,2021-09-30,Перемотка,https://open.spotify.com/track/1CqOEa4NIRBaWR6sNHTDTo,Ukraine,top200,MOVE_DOWN,4926.0
Mogę Dziś Umierać,47,2020-07-15,White 2115,https://open.spotify.com/track/38r67NnLgSMEGhilk9QhF4,Poland,top200,MOVE_DOWN,40896.0
Dance Monkey,2,2019-10-03,Tones And I,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,Iceland,viral50,SAME_POSITION,
Say So,114,2020-01-28,Doja Cat,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,Israel,top200,MOVE_DOWN,3641.0
ANTES QUE SALGA EL SOL,82,2021-01-23,"Natti Natasha, Prince Royce",https://open.spotify.com/track/1vucS7X4otbyQSZ9RXYXFI,Peru,top200,MOVE_UP,19623.0
Doin' Time,58,2019-05-17,Lana Del Rey,https://open.spotify.com/track/0cLS7FslBJgsuWwJNRnPWB,Estonia,top200,NEW_ENTRY,1624.0
Say You Won't Let Go,81,2019-10-10,James Arthur,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,Australia,top200,MOVE_UP,47023.0
Everybody Dies In Their Nightmares,47,2019-06-06,XXXTENTACION,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7,United Arab Emirates,top200,MOVE_UP,1628.0
Taca a Xereca pra Mim,4,2021-09-30,MC Kaique da VP,https://open.spotify.com/track/2GqCEJpzmD81AJ2H0Hyz5T,Brazil,viral50,SAME_POSITION,
Yhtenä sunnuntaina,12,2020-06-16,Erin,https://open.spotify.com/track/58sSa4CQ4T4GwyV97T2tcR,Finland,viral50,MOVE_DOWN,
IDGAF,130,2018-07-15,Dua Lipa,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,Canada,top200,MOVE_UP,31597.0
Hello (feat. A Boogie Wit da Hoodie),170,2021-01-22,Pop Smoke,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi,France,top200,MOVE_DOWN,44631.0
DTB,14,2021-12-17,Merczz,https://open.spotify.com/track/6BoXckigjvnIAZVQV6lELq,Slovakia,viral50,MOVE_UP,
Mr. Sensei,45,2017-03-07,"Clayjay, Courtnie",https://open.spotify.com/track/0WJznt5E7Dgwugz2zOSSvt,United States,viral50,MOVE_DOWN,
VERDEN VENDER,25,2020-02-17,"Branco, Gilli",https://open.spotify.com/track/1k2HuMmXVnn9X4mGZIwIi4,Denmark,top200,MOVE_UP,33156.0
Pirate,51,2020-05-08,"Ninho, Hös Copperfield",https://open.spotify.com/track/04DQPJA3FWKdIvDaMsnMdv,France,top200,MOVE_DOWN,72819.0
Ouroboros,179,2021-02-03,Pause,https://open.spotify.com/track/4zWMI0s98eCnAyteHExvfb,Morocco,top200,MOVE_DOWN,1514.0
Culpables,15,2018-11-28,"KAROL G, Anuel AA",https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH,Chile,top200,SAME_POSITION,130841.0
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",15,2017-06-29,DJ Khaled,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,Panama,top200,MOVE_DOWN,4088.0
